role,name,affiliation,url,display on the website
Co-Investigators,Liliana Bounegru,King's College London,http://lilianabounegru.org/,TRUE
Co-Investigators,Jonathan Gray,King's College London,http://jonathangray.org/,TRUE
Co-Investigators,Tommaso Venturini,"Univ Lyon, Inria, ENS de Lyon, CNRS, UCB Lyon 1",http://www.tommasoventurini.it/,TRUE
Co-Investigators,Michele Mauri,Politecnico di Milano,http://www.densitydesign.org/person/michele-mauri/,TRUE
DensityDesign Lab Researchers and Collaborators,Agata Brilli,Politecnico di Milano,https://www.linkedin.com/in/agata-brilli/,TRUE
DensityDesign Lab Researchers and Collaborators,Ángeles Briones,Politecnico di Milano,http://www.densitydesign.org/person/angeles-briones/,TRUE
DensityDesign Lab Researchers and Collaborators,Carlo De Gaetano,,http://www.densitydesign.org/person/carlo-alessandro-de-gaetano/,TRUE
DensityDesign Lab Researchers and Collaborators,Gabriele Colombo,Politecnico di Milano,http://www.densitydesign.org/person/gabriele-colombo/,TRUE
DensityDesign Lab Researchers and Collaborators,Mariasilvia Poltronieri,,https://www.behance.net/ma_po,TRUE
DensityDesign Lab Researchers and Collaborators,Michele Invernizzi,Politecnico di Milano,http://www.densitydesign.org/person/michele-invernizzi/,TRUE
DensityDesign Lab Researchers and Collaborators,Michele Mauri,Politecnico di Milano,http://www.densitydesign.org/person/michele-mauri/,TRUE
DensityDesign Lab Researchers and Collaborators,Paolo Ciuccarelli,Politecnico di Milano,http://www.densitydesign.org/person/paolo-ciuccarelli/,TRUE
DensityDesign Lab Researchers and Collaborators,Tommaso Elli,Politecnico di Milano,http://www.densitydesign.org/person/tommaso-elli/,TRUE
Facilitators,Alex Gekker,University of Amsterdam,http://alexgekker.com/,TRUE
Facilitators,Anders Munk,Aalborg University,http://personprofil.aau.dk/profil/126983,TRUE
Facilitators,Bilel Benbouzid,University of Paris-Est Marne-la-Vallée,http://ifris.org/en/membre/benbouzid-bilel-2/,TRUE
Facilitators,Erik Borra,University of Amsterdam,http://erikborra.net/,TRUE
Facilitators,Esther Weltevrede,University of Amsterdam,http://www.uva.nl/over-de-uva/organisatie/medewerkers/content/w/e/e.j.t.weltevrede/e.j.t.weltevrede.html,TRUE
Facilitators,Jonathan Gray,King's College London,http://jonathangray.org/,TRUE
Facilitators,Liliana Bounegru,King's College London,http://lilianabounegru.org/,TRUE
Facilitators,Marc Tuters,University of Amsterdam,http://www.uva.nl/over-de-uva/organisatie/medewerkers/content/t/u/m.d.tuters/m.d.tuters.html,TRUE
Facilitators,Mathieu Jacomy,Sciences Po,http://www.medialab.sciences-po.fr/people/mathieu-jacomy/,TRUE
Facilitators,Natalia Sánchez-Querubín,University of Amsterdam,http://gsh.uva.nl/prospective-masters-students/programmes/content21/academic-staff/academic-staff/academic-staff/cpitem-11/link/n.sanchezquerubin,TRUE
Facilitators,Nicolas Baya-Laffite,University of Lausanne,http://www.medialab.sciences-po.fr/people/nicolas-baya-laffite/,TRUE
Facilitators,Richard Rogers,University of Amsterdam,http://www.uva.nl/over-de-uva/organisatie/medewerkers/content/r/o/r.a.rogers/r.a.rogers.html,TRUE
Facilitators,Sabine Niederer,Amsterdam University of Applied Sciences,http://www.niederer.info/?page_id=2,TRUE
Facilitators,Tommaso Venturini,"Univ Lyon, Inria, ENS de Lyon, CNRS, UCB Lyon 1",http://www.tommasoventurini.it/wp/,TRUE
Analysts,Anders Grundtvig,Aalborg University,,TRUE
Analysts,Anna Keuchenius,University of Amsterdam,,TRUE
Analysts,Antonio Martella,University of Amsterdam,http://www.sp.unipi.it/index.php/it/dottorandi/antonio-martella,TRUE
Analysts,Asbjørn Fleinert Mathiasen,Aalborg University,,TRUE
Analysts,Asger Gehrt Olesen,Aalborg University,,TRUE
Analysts,Carlo Santagiustina,University of Amsterdam,,TRUE
Analysts,Charlotte Leclercq,University of Amsterdam,,TRUE
Analysts,Daniel Bach,Aalborg University,,TRUE
Analysts,Daniela Demarchi,University of Amsterdam,,TRUE
Analysts,Ecesu Erol,University of Amsterdam,,TRUE
Analysts,Emil Grosby Jørgensen,Aalborg University,,TRUE
Analysts,Joep Voorn,University of Amsterdam,,TRUE
Analysts,Jorn Preuss,University of Siegen,https://www.uni-siegen.de/phil/medienwissenschaft/personal/lehrende/preuss_joern/index.html,TRUE
Analysts,Katerina Gladkova,University of Amsterdam,,TRUE
Analysts,Lieke Kersten,University of Amsterdam,https://www.linkedin.com/in/kerstenlieke,TRUE
Analysts,Lisanne Blomberg,University of Amsterdam,,TRUE
Analysts,Manon van Hoek,University of Amsterdam,,TRUE
Analysts,Maria Hayat,University of Amsterdam,,TRUE
Analysts,Marlene Scherf,University of Amsterdam,,TRUE
Analysts,Michel Blonk,University of Amsterdam,,TRUE
Analysts,Mintsje de Witte,University of Amsterdam,,TRUE
Analysts,Mischa Benjamin Szpirt,Aalborg University,,TRUE
Analysts,Pieter Vliegenthart,University of Amsterdam,,TRUE
Analysts,Rina Tsubaki,European Journalism Centre,,TRUE
Analysts,Ronja Ingeborg Lofstad,Aalborg University,,TRUE
Analysts,Sal Hagen,University of Amsterdam,,TRUE
Analysts,Stefani Mans,University of Amsterdam,,TRUE
Analysts,Stefanie Voortman,University of Amsterdam,,TRUE
Analysts,Talia Castellanos Usigli,University of Amsterdam,,TRUE
Analysts,Zoë Versteegen,University of Amsterdam,,TRUE
Research and Editorial Assistant,Daniela Demarchi,University of Amsterdam,,TRUE
Advisors,Ida Eklund-Lindwall,East Stratcom Task Force,http://foljeslagarprogrammet.se/foljeslagarna/ida-eklund-lindwall/,FALSE
Advisors,Jayson Harsin,The American University of Paris (AUP),https://www.aup.edu/profile/jharsin,FALSE
Advisors,Jenni Sargent,First Draft,https://firstdraftnews.com/author/jennisargent/,FALSE
Advisors,Craig Silverman,BuzzFeed News,https://www.buzzfeed.com/craigsilverman,FALSE
Advisors,Lam Thuy Vo,BuzzFeed News,https://www.buzzfeed.com/lamvo,FALSE
Advisors,Claire Wardle,First Draft,https://firstdraftnews.com/author/cwardle/,FALSE
